Sat Aug 14 16:32:45 2021    profile_out.prof

         785112 function calls (779896 primitive calls) in 5.558 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      180    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\numpy\core\multiarray.py:321(where)
       45    0.000    0.000    0.000    0.000 C:\Python39\lib\collections\__init__.py:464(__getnewargs__)
       45    0.000    0.000    0.000    0.000 C:\Users\aleksa\Documents\FAKS\RI\repo\src\solvers\ptas\li_ma_wang_ptas.py:152(<listcomp>)
        4    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      140    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\numpy\core\shape_base.py:20(_atleast_1d_dispatcher)
       45    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\scipy\optimize\optimize.py:145(_check_unknown_options)
       45    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       90    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\numpy\core\fromnumeric.py:2350(_all_dispatcher)
       45    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\numpy\linalg\linalg.py:193(_assert_stacked_2d)
       90    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\numpy\core\numeric.py:2388(_array_equal_dispatcher)
       45    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\scipy\optimize\_linprog_util.py:988(<dictcomp>)
        3    0.000    0.000    0.000    0.000 C:\Python39\lib\warnings.py:403(__init__)
       45    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       45    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\numpy\core\numeric.py:420(_count_nonzero_dispatcher)
       45    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\numpy\linalg\linalg.py:1478(_svd_dispatcher)
       90    0.000    0.000    0.000    0.000 C:\Python39\lib\copy.py:182(_deepcopy_atomic)
       45    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\numpy\linalg\linalg.py:1800(_matrix_rank_dispatcher)
        3    0.000    0.000    0.000    0.000 C:\Python39\lib\warnings.py:96(_showwarnmsg)
        1    0.000    0.000    0.000    0.000 C:\Python39\lib\copyreg.py:103(_slotnames)
       10    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\numpy\ma\core.py:6371(isMaskedArray)
        1    0.000    0.000    0.000    0.000 C:\Users\aleksa\Documents\FAKS\RI\repo\src\abstractions.py:148(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\aleksa\Documents\FAKS\RI\repo\src\solvers\ptas\li_ma_wang_ptas.py:132(__init__)
        3    0.000    0.000    0.000    0.000 C:\Python39\lib\warnings.py:20(_showwarnmsg_impl)
        3    0.000    0.000    0.000    0.000 C:\Python39\lib\site-packages\scipy\linalg\blas.py:306(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\aleksa\Documents\FAKS\RI\repo\src\abstractions.py:183(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\aleksa\Documents\FAKS\RI\repo\src\solvers\ptas\li_ma_wang_ptas.py:138(get_default_config)
        3    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\aleksa\Documents\FAKS\RI\repo\src\abstractions.py:161(compare_with_ref_)
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\aleksa\Documents\FAKS\RI\repo\src\abstractions.py:198(edit_conf)


